ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ConceptInSource
pP-tell-1,,pP,tell,*mi-,*mi-,m i,(?),,69,,^ * m i -$,default,**mi-,"story,tell a story"
pT-tell-1,,pT,tell,*mimi-,*mimi-,m i m i,,,69,,^ * m i m i -$,default,**mi-,"speak,tell"
ProPaTa-hand-1,,ProPaTa,hand,**mɨ-,**mɨ-,m ɨ,,,70,,^ * * m ɨ -$,default,**mɨ-,hand
pP-hand-1,,pP,hand,*mɨ-,*mɨ-,m ɨ,,,70,,^ * m ɨ -$,default,**mɨ-,hand (instrumental prefix)
pP-hand-2,,pP,hand,*mɨʔi-,*mɨʔi-,m ɨ ʔ i,,,70,,^ * m ɨ ʔ i -$,default,**mɨ-,touch with hand
pP-hand-3,,pP,hand,*mɨ̹-cis(t)i,*mɨ̹-cisi,m ɨ + ʈʂ i s i,,,70,,^ * m ɨ̹ - c i s i $,default,**mɨ-,fingernail
pP-hand-4,,pP,hand,*mɨ-kɨnɨ,*mɨ-kɨnɨ,m ɨ + k ɨ n ɨ,,,70,,^ * m ɨ - k ɨ n ɨ $,default,**mɨ-,hand
pP-hand-5,,pP,hand,*mɨ-toti,*mɨ-toti,m ɨ + t o t i,,,70,,^ * m ɨ - t o t i $,default,**mɨ-,index finger
pP-hand-6,,pP,hand,*mɨ-bi,*mɨ-bi,m ɨ + b i,,,70,,^ * m ɨ - b i $,default,**mɨ-,"branch,hand"
pP-hand-7,,pP,hand,*mɨ-ṣ̌o-,*mɨ-ṣ̌o-,m ɨ + ʃ o,,,70,,^ * m ɨ - ṣ̌ o -$,default,**mɨ-,creep on hands and knees
pT-hand-1,,pT,hand,*me2-,*me2-,m e,,,70,,^ * m e 2 -$,default,**mɨ-,hand
pT-hand-2,,pT,hand,*me-tiji,*me-tiji,m e + t i j i,,,70,,^ * m e - t i j i $,default,**mɨ-,"fingernail,etc"
ProPaTa-night-1,,ProPaTa,night,**(-)mɨta,**mɨta,m ɨ t a,,,71,,^ * * m ɨ t a $,default,**(-)mɨta,night
pP-night-1,,pP,night,*yamɨCV,*yamɨCV,j a m ɨ !C/p !V/i,(:*yamɨta),,71,,^ * y a m ɨ C V $,default,**(-)mɨta,night
pP-night-2,,pP,night,*ya̹ta̹,*ya̹ta̹,j a t a,(:*yamɨta-n,,71,,^ * y a̹ t a̹ $,default,**(-)mɨta,night
pT-night-1,,pT,night,*meta,*meta,m e t a,The form in Takana is mueta which is the reflex generally of a hypothetical *maeta. In the 1880s Armentia transcribed the Takana word as <maeta>. The irregularity of the Takana form has never been explained: now it is possible to speculate on the metathesis of the initial *ya- found in Panoan.,,71,,^ * m e t a $,default,**(-)mɨta,night
ProPaTa-thou-1,,ProPaTa,thou,**mi,**mi,m i,,,72,,^ * * m i $,default,**mi,thou
pP-thou-1,,pP,thou,*mi,*mi,m i,,,72,,^ * m i $,default,**mi,thou
pT-thou-1,,pT,thou,*mi,*mi,m i,,,72,,^ * m i $,default,**mi,thou
